In a layered approach to OS design, the bottom layer (layer 0) represents ________.	the hardware		
"An operating system's message passing API may support a _______ allowing processes to respond received messages at a later time (asynchronous messaging handling)."	callback mechanism		
What is a socket?	An abstract endpoint for communication.		A pair of processes can use a pair of sockets to communicate over a network.
What two components are used to identify a socket?	1. An IP address. 2. A port number.		
"The IP address ""127.0.0.1"" is conventionally known as the ________."	The loopback address.		
Packaging the parameter values for an RPC call is a process known as ________.	"""marshalling"" (or ""serializing"")"		This packages the parameters into a form that can be transmitted over a network.
Describe one potential challenge with calling remote procedures between two computers:	Internally, the two computers—caller and host—may represent data in a different way (big endian vs. little endian systems). Most RPC implementations use an external data representation (XDR) to marshal parameters over the network.		
How might two processes locate each other in order to communicate across a system or network?	"The operating system may provide a rendevzous (or ""matchmaker"") daemon that listens on a fixed port. The daemon receives messages identifying the intended recipient in a port-agnostic way, and forwards the message to the appropriate recipient port (mailbox)."		This strategy is more flexible but incurs additional overhead.
Which resources are normally shared between threads?	"Threads belonging to the same process share its code section (or ""text section""), data section, and other resources such as open file handles and signals."		
What resources are exclusively owned by an individual thread?	Every thread recieve its own thread ID, program counter, register set (loaded and restored), and program stack.		
A process with no child threads is considered ________, while a process with several threads is considered ________.	single-threaded, multi-threaded		
List 4 general benefits of multi-threading:	1. System responsiveness: Certain process behaviors may continue to execute while other tasks are blocked. 2. Resource sharing: A thread and its associated process oftens can share the same memory and other system resources. 3. Economy: Generally it is more time consuming to create new processes as opposed to creating new threads. 4. Processor utilization: In a multiprocessor architecture, we can increase throughput by running multiple threads concurrently on separate processors.		
To support system calls in threads, ________ threads and backed by ________ threads.	user threads, kernel threads		
Briefly describe 3 models for pairing user threads with kernel threads:	1. Many-to-one: Many user-level threads get mapped to a single kernel thread. The entire process blocks if one thread makes a blocking system call. Only one thread may acces the kernel at any given time. Multiple threads cannot run in parallel on multiprocessors. 2. One-to-one: Each user thread is mapped to a kernel thread. This improves concurrency, allowing multiple threads to run in parallel on multiprocessors. Users must be careful not to overtax the system with too many paired threads. 3. Many-to-many: Many user-level threads are multiplexed to an equal or smaller number of kernel-level threads. This allows for true concurrency, unlike the many-to-one model. When a thread performs a blocking system call, the kernel can schedule another thread for execution.		
List the 3 common thread libraries (APIs):	1. POSIX Pthreads 2. Win32 thread API 3. Java thread API*		"Note that the JRE technically implements Java's threading APIs using a given system's underlying calls for threading (UNIX, Win32, etc)."
Pthreads define a ________, not an ________.	specification, implementation		
With Pthreads, where do new threads start their execution?	In a function specified in the call to pthread_create().	#include <pthread.h> int main(int argc, char** argv) { pthread_t tid; pthread_attr_t attr; pthread_attr_init(&attr); pthread_create(&tid, &attr, doSomeWork, argv[1]); pthread_join(tid, NULL); } void *doSomeWork(void *param) { ... pthread_exit(0); }	
The programmer can terminate a Pthread by calling the ________ system call.	pthread_exit()	pthread_exit(0);	
Using the Win32 API, the programmer creates a thread with the ________ system call.	The CreateThread() call.	int main(int argc, char** argv) { DWORD ThreadId; HANDLE ThreadHandle; int Param; Param = atoi(argv[1]); ThreadHandle = CreateThread( NULL, 0, DoWork, &Param, 0, &ThreadId ); } DWORD WINAPI DoWork(LPVOID Param) { ... return 0; }	
Using the Win32 API, a programmer can terminate a thread using the ________ system call.	The CloseHandle() call.	/* Close the thread handle */ CloseHandle(ThreadHandle);	
Using the Win32 API, a programmer can wait for a child thread to terminate using the ________ system call.	The WaitForSingleObject() system call.	/* Wait for the child thread to finish */ WaitForSingleObject(ThreadHandle, INFINITE);	
What two options are available in Java for creating threads?	1. Create a class inheriting from the Thread class, and override its run() method. 2. Create a class that implements the Runnable interface (defines a run() method).	/* Option 1 */class WorkerThead extends Thread { WorkerThread() {…} public void run() {…} } /* Option 2 */class WorkerThead implements Runnable { WorkerThread() {…} public void run() {…} }	
In Java, a newly initialized Runnable class does not begin its task until ________.	Its start() method is called.		
"In Java, we can have a parent thread wait for its child thread to terminate by calling the parent's ________ method."	join() method		
What happens when we call the start() method on a Java Runnable object?	"1. The JVM allocates memory and initializes a new thread. 2. The JVM calls the object's run() method, marking it as eligible to run."		
A Java Runnable object terminates when ________.	When it exits (returns) from its run() method.		
UNIX systems use ________ to notify a process that an event has occurred.	signals		
A signal can be either ________ or ________.	synchronous signals / asynchronous signals		
Give 2 examples of synchronous signals:	1. An illegal memory access. 2. An illegal divide-by-zero.		
What distinguishes a synchronous signal from an asynchronous signal?	A synchronous signal is immediately recieved by the process that generates the event (e.g., an attempted divide-by-zero instruction). An asynchronous signal is issued by something other than the process (e.g., a timer expiring), and may be handled after some delay.		
Give 2 examples of events that would generate an asynchronous signal in UNIX:	1. A keyboard event (e.g., Ctrl-C to terminate the process). 2. A timer expiring.		
A signal may be handled using a ________ if the process provides no custom handler.	A default signal handler (run by the kernel).		"For a window resize event, for example, the default handler may suffice. For an illegal memory access, the kernel's default handler may terminate the process."
For multithreaded applications, what options does the kernel have for delivering signals?	1. Deliver the signal to the most appropriate thread. 2. Deliver the signal to every thread in the process. 3. Deliver the signal to certain threads. 4. Mark a single thread as the recipient for all signals.		
In UNIX, we can use the ________ signal call to terminate a process; we can use the ________ signal call to terminate a specific thread.	1. The kill() call. 2. The pthread_kill() call.	/* terminates a process */ kill(aid_t aid, int signal); /* terminates a thread belonging to a process */ pthread_kill(pthread_t tid, int signal);	
List 2 resource problems that can be mitigated by using a thread pool:	1. The time overhead of initializing new threads. 2. The finite capacity of the host system (memory, processing power, etc).		
When a thread receives its own copy of specific process data, this data is known as ________.	thread-specific data		Most threading libraries provide some support for thread-specific data.
Distinguish a thread from a lightweight thread (LWT):	Between a (user) thread and a kernel thread, there often exists an intermediate data structure known as a lightweight thread. This structure represents a virtual processor on which to schedule threads. Each LWP gets paired to an available kernel thread, and each kernel thread will be scheduled to run on a physical processor.		Typically, a process will need one LWP for each concurrent blocking system call.
When would a lightweight process (LWP) block?	Whenever its underlying kernel thread blocks (e.g., waiting for I/O to complete).		
Briefly describe a kernel activation scheme:	"The kernel provides an application with a set of virtual processors (LWPs) on which to schedule threads. Using an upcall mechanism (supported by the thread library), the kernel informs the application about the ocurrences of certain events. The application gets notified when the kernel uses another LWP to run an upcall handler, which also ""runs"" on one of the virtual processors."		One such event triggers whenever a user thread running on an LWP is about to block (due to a blocking call to the kernel).
What model is used by Windows XP to associate user-level with kernel-level threads?	The one-to-one model.		Windows XP also supports the many-to-many model through a fiber library.
List the 4 general components of a Windows XP thread:	1. A unique thread ID. 2. A register set (representing a processor state). 3. A user stack and kernel stack. 4. A private storage area (used by various runtime libraries and DLLs).		
Linux does not formally distinguish ________ from ________.	processes from threads		
Linux more commonly refers to processes or threads as ________.	tasks		
What differentiates the clone() system call from the fork() system call on Linux?	clone() allows the programmer to pass a set of flags used to customize the set of resources that will be shared between the parent and child task. fork() does not expose these options. By default, fork() creates a copy in memory of all data structures associated with the parent task, and assigns them to the child task.		
List 4 kinds of resources that may be optionally shared between parent and child processes:	1. Memory address space.2. File system information. 3. Signal handlers. 4. Open files.	/* Flags supported by clone() system call (Linux) */ CLONE_FS | CLONE_VM | CLONE_SIGHAND | CLONE_FILES	
How does Linux allow child tasks to share the resources of its parent?	"By using pointers in the child task's task control block (PCB) (i.e.—task_struct) that point to the address of parent resources in the same memory address space."		
Generally speaking, across systems, the curve that models CPU burst (frequency vs. duration) can be characterized as ________.	exponential		A large number of short CPU bursts and a small number of long CPU bursts.
An I/O-bound process typically has a ________ number of ________ CPU bursts.	A higher number of shorter CPU bursts.		
A CPU-bound process typically has a ________ number of ________ CPU bursts.	A lower number of longer CPU bursts.		
The CPU scheduler is sometimes referred to as the ________ scheduler.	The short-term scheduler.		
List 4 abstract data structures than could be used to model a ready queue:	1. A FIFO queue. 2. A priority queue. 3. A self-balancing tree. 4. An unsorted linked list.		
"Describe 4 instances in a process's lifecycle when the CPU scheduler would be invoked:"	"1. When a running process switches to the ""waiting"" state (e.g., blocks or yields). 2. When a running process switches to the ""ready"" state (e.g., interrupt occurs). 3. When a waiting process switches to the ready state (e.g., I/O operation completes). 4. When a process terminates (no longer running)."		
Distinguish a non-preemptive scheduler from a preemptive scheduler:	A non-preemptive (or cooperative) scheduler will schedule a process on a CPU and allow it to run until it either yields (voluntarily) or terminates. A preemptive scheduler may suspend a task that is currently running on a CPU in favor of a different task, in response to some event (e.g., timer interrupt).		Microsoft Windows 3.x was designed with a non-preemptive scheduler, while Windows 95 (and all subsequent versions of Windows) featured a preemptive scheduler.
"Preemptive scheduling requires that we coordinate processes' access to ________."	shared data (memory)		
Describe a simple strategy that would support preemption for multiple, overlapping calls into the kernel:	When a system call is invoked, disable context switching until either the call completes, or until it is blocked (e.g., on some I/O operation).		
Why would we want to limit our disabling of interrupts on a CPU?	During the time that interrupts are disabled, the system is unaware of potentially important events, and data loss may occur (i.e., a packet arrives on a network card, a key is pressed on the keyboard by the user, etc).		
The piece of the kernel that is responsible for context switching and CPU mode switching is sometimes called the ________.	The dispatcher.		
List 5 general criteria to consider when designing a scheduling algorithm:	1. CPU utilization. 2. Throughput. 3. Turnaround time. 4. Waiting time. 5. Response time.		"Normally it's desireable to maximize CPU utilization and throughput, and minimize turnaround time, waiting time, and response time."
To a scheduler, the throughput of the system can be measured as ________.	The number of processes that are completed per unit of time.		
To a process, the amount of time between its submission (to the scheduling system) and its completion is known as the ________.	turnaround time		
We can measure the interactivity of a system by its average response time, or by the ________ of response times.	variance		
List 4 different design strategies that a scheduler program could follow:	1. First-come, first-served scheduling (FCFS). 2. Shortest-job-first scheduling (SJF). 3. Priority scheduling. 4. Round-robin scheduling (RR).		
A first-come, first-served (FCFS) scheduler can implement its ready queue using what abstract data structure?	A FIFO queue.		When a process enters the ready queue, its PCB is added to the tail of the queue. When a CPU becomes available, it is assigned the process at the head of the queue.
Describe one disadvantage of a first-come, first-served (FCFS) scheduler:	The resulting average wait time is generally not minimal, and variance may be significant.		The FCFS strategy is nonpreemptive—the scheduler does not consider contextual details about the set of processes in the system.
The shortest-job-first scheduler selects the next process to run according to ________.	"The (estimated) length of the process's next CPU burst."		
The shortest-job-first scheduling strategy optimizes what performance criteria?	Average waiting time.		This stragegy is provably optimal, as prioritizing a shorter burst (process A) before a longer burst (process B) results in a shorter waiting time for both processes.
"Give a heuristic that could be used to estimate the length of a process's next CPU burst:"	"An exponential average of the process's previous n CPU bursts: - Let [$]t_n[/$] be the length of the nth CPU burst. - Let [$]\mathrm{T}_{(n+1)}[/$] be the predicted value for the next CPU burst. - Let [$]\mathrm{A}[/$] determine the relative weight of recent vs. past measurements. For [$]0 \leq \mathrm{A} \leq 1[/$], [$]\mathrm{T}_{(n+1)} = \mathrm{A}*t_n + (1-\mathrm{A})*\mathrm{T}_n[/$] Each successive measurement carries less weight (in the resulting average) compared to any previous measurements."		Commonly, [$]\mathrm{A}[/$] is chosen to be 0.5.
The shortest-job-first stategy is one example of a more general ________ scheduling strategy.	priority scheduling strategy		"A SJF scheduler uses the inverse of a process's next predicted CPU burst (duration) as the priority level of the process."
What is starvation?	Starvation occurs when a process is prevented from running indefinitely.		
What scheduling problem can be solved with aging?	Starvation.		"We could gradually increase a process's priority over time as it waits in the ready queue."
Round-robin schedulers use a ________ to periodically schedule (or preempt) processes in the system.	"A time quantum (or ""time-slice"")."		
Which general scheduling algorithm is especially suited to real-time systems?	Round-robin (RR)		
A round-robin scheduler makes use of a ________ to enforce a time quantum.	timer interrupt		
When a running process exceeds its time quantum, it is preempted by the scheduler and placed ________.	At the end of the ready queue.		
If n is the number of processes in the system and q is the chosen time quantum, give a formula for the maximum wait time of a process in the ready queue:	[$](n - 1) * q[/$]		
"For a system with a round-robin scheduler, we'd want the time quantum to be large with respect to what other duration?"	The time required to context-switch.		"The closer our time quantum gets to the system's context-switching time, the greater the percentage of CPU time would be considered ""overhead cost"" (for switching processes)."
Interactive processes are typically made to be ________ processes, while batch processes are typically made ________ processes.	Foreground processes / Background processes		
A multilevel queue scheduler uses multiple ________ to organize and schedule processes.	ready queues		This typically includes a foreground (high priority) process queue and a background (low priority) process queue.
Briefly describe the multi-level queue scheduling strategy:	"The ""ready queue"" is composed of multiple process queues. New processes are permanently assigned to different queues according to some measurable criteria: memory size, process type, explicit priority, etc. Each queue is given its own scheduling algorithm; interqueue scheduling must also occur (e.g., queue priority)."		
How would a feedback-queueing strategy affect the design of a multi-level queue scheduler?	It would introduce the ability for a process to move between queues according to some runtime characteristic (i.e., CPU burst behavior). The strategy effectively distributes (sorts) all processes among the process queues according to their runtime behaviors.		
What scheduling concept gets introduced when a system becomes multi-processor?	"Load sharing (or ""load-balancing"")"		
When several processors have identical features, we call them ________.	homogeneous		
Symmetric multiprocessing (SMP) requires each processor to ________.	Select the next process to execute (from a ready queue).		There may be a common ready queue, or each processor may maintain its own queue.
Why would we try to minimize the migration of processes between CPUs?	"When a process runs on a CPU for some time, part of the CPU's cache memory is populated with data associated with that process (improving performance). When a process is migrated to a new CPU, the original CPU's cache memory must be invalidated and the new CPU's cache memory must be populated."		Due to the relatively high cost to invalidating and repopulating CPU caches, most SMP systems try to avoid migrating processes.
The improved performance gained when a process remains on the same processor is known as ________.	processor affinity		
When a process is restricted to running on a single logical CPU (perhaps accomplished through a system call), we are enforcing ________ affinity for that process.	hard affinity		
Load-balancing can be accomplished either through ________ or ________, or a combination of the two.	"""Push migration"" or ""pull migration"""		
Distinguish push migration from pull migration in the context of load-balancing:	"With push migration, a dedicated process periodically checks the size of each CPU's queue and uses process migration to balance out the loads. With pull migration, idle CPUs may pull a waiting task from the queue of busier CPU."		"These two strategies may be used in conjunction. Linux performs push migration algorithm every 200ms, and performs pull migration whenever a CPU's process queue is empty."
"What's another name for symmetric multithreading (SMT)?"	hyperthreading		
Is symmetric multithreading a hardware or software feature?	A hardware feature. The hardware presents multiple logical processors to the operating system; the operating system can schedule tasks on each logical processor.		Logical processors perform their own interrupt handling, but otherwise share the resources of the physical processor (cache memory, buses).
How does kernel-level thread support change the scheduling requirements for a multi-threaded system?	Without kernel-level threads, the operating system must schedule the individual user-level processes. When kernel-level threads are used, the user-level threads are managed by a thread library (not visible to the kernel) and the kernel need only schedule its own kernel-level threads.		
Distinguish process-contention scope (PCS) and system-contention scope (SCS):	On systems that implement kernel threads (for executing system calls), the set of threads belonging to one process compete (or contest) for time on available LWPs (assigned by the thread library). When the kernel must choose a kernel thread to run on an available (physical) CPU, it uses system contention scope (SCS), as the competition includes all threads in the system.		
How can we evaluate the relative performance of different scheduling algorithms when the specific set of tasks run in a system can vary from day to day?	1. We can measure and estimate the distribution of CPU bursts and I/O bursts across processes over time; this normally produces an exponential model (or formula) giving the probability of a particular CPU burst occurring. 2. We can model an arrival-time distribution for processes in the system. From these 2 distribution models, we can estimate the utilization, average queue length, average wait time, and other indicators of performance, for each scheduling algorithm.		
"Give Little's formula, and explain its relevance to queue-network analysis:"	Let n be the average length of a service queue. Let W be the average waiting time in the queue. Let [$]\lambda[/$] be the average arrival rate for new processes in the queue. During the time W that a process waits in the queue, [$]\lambda * W[/$] new processes will arrive. If the system is in a steady state, then the number of processes leaving the queue must be equal to the number of processes arriving at the queue. Thus, the average number of processes sitting in a steady state queue must be: [$]n = \lambda * W[/$]		
"Why is Little's formula significant in queue-network analysis?"	It gives us the average length of a (steady state) service queue, given the arrival rate and average waiting time for processes in the queue. The formula is valid for any scheduling algorithm and arrival distribution.		
"What quantity is given by Little's formula?"	The average length of a service queue (when its in a steady state).		
When does a race condition occur?	Whenever 2 or more processes access and manipulate the same (shared) data concurrently, and the outcome of the execution depends on the order in which access takes place.		
What defines a critical section in a program?	Access (and perhaps modification) of shared data in the system.		
When one process executes its critical section, we must require that ________.	no other process be allowed to execute in their own critical sections.		
List and describe 3 requirements for a solution to the critical-section problem:	1. Mutual exclusion: If one process is executing its critical section, no other process may also be executing a critical section. 2. Progress: If no process is executing a critical section and some processes wish to enter their critical sections, then those processes must decide amongst themselves which process will enter its critical section next. This decision cannot be postponed indefinitely. 3. Bounded waiting: When a given process P1 requests to enter its critical section, there must be a limit to the number of other processes that enter their own critical sections before P1 is allowed to enter.		
Explain the mutual exclusion requirement that must be met when solving the critical-section problem:	When one process enters its critical section, no other process in the system may enter its own critical section.		The process executing its critical section may still be pre-empted by the kernel, but any process that preempts it may not execute in a critical section.
Explain the progress requirement placed on solutions to the critical-section problem:	The set of processes waiting to enter their critical sections must coordinate to decide which process may enter next. This decision cannot be delayed indefinitely.		
Explain the bounded waiting requirement placed on solutions to the critical-section problem:	When one process, P1, requests to enter its critical section, it cannot be postponed indefinitely by other processes. The number of other processes that are allowed to enter before it (after the request is made) must be limited.		
In terms of scheduling behavior, we can place kernel designs into what 2 categories?	1. Preemptive kernels. 2. Non-preemptive kernels.		
Distinguish a preemptive kernel from a non-preemptive kernel:	A preemptive kernel allows a process (P1) to be preempted by other process (P2) while the original process (P1) is executing in kernel mode. In a non-preemptive kernel, a process running in kernel mode is allowed to run until it exits from kernel mode, it blocks, or it yields control voluntarily.		
How can a non-preemptive kernel simplify the design of the kernel?	By allowing processes to continue execution while in kernel mode without interruption, processes will not create race conditions on kernel data structures. Only one process may be active in the kernel at a time.		
Would a preemptive or non-preemptive kernel be more optimal for a real-time operating system?	A preemptive kernel; these kernels have improved ability to satisfy precise timing requirements for processes in the system.		
What is one advantage of designing a kernel to be preemptive vs. non-preemptive?	A preemptive kernel can be more responsive, as processes lose the ability to run in kernel mode for an arbitrarily long period of time.		
