What is a Computer Program?,A computer program is a set of instructions that we want a computer to perform.
Vertica,Gold standard for column stores (but costs gold)
software erosion,"""slow deterioration of software over time that will eventually lead to it becoming faulty [or] unusable"" ""the software does not actually decay, but rather suffers from a lack of being updated with respect to the changing environment in which it resides."""
SSL,Secure Sockets Layer Cryptographic protocols which are designed to provide communication security over the Internet
ITIL,Information Technology Infrastructure Library a set of practices for IT service management (ITSM) that focuses on aligning IT services with the needs of business
RYO,roll your own
MSA,Master Level Service Agreements 1st agreement that spells out common terms: payment delivery rights
OKR,Objectives & Key Results
SCREAMING_SNAKE_CASE,variables in unix constants in Ruby
SDK,"software development kit allows for the creation of applications for a certain software package, software framework, hardware platform, computer system, video game console, operating system, or similar development platform."
SPOF,Single Point of Failure
YAML,YAML Ain't Markup Language a human-readable data serialization format
Kanban,"a scheduling system for lean and just-in-time (JIT) production a system to control the logistical chain from a production point of view, and is not an inventory control system."
radix,"same as base radix 10 = base 10, standard numbers radix 4 = base 4, DNA radix 2, base 2, binary"
botnet,A collection of Internet-connected programs communicating with other similar programs in order to perform tasks eg: keeping control of an Internet Relay Chat (IRC) channel send spam email participate in distributed denial-of-service attacks
Demming Process,
Continuous Deployment,"""push"" system vs continuous delivery, aka ""pull"" system"
UDF,User defined function
What is Backbone.js?,"An uber-light framework that allows you to structure your Javascript code in an MVC(Model, View, Controller) fashion Model is part of your code that retrieves and populates the data, View is the HTML representation of this model(views change as models change, etc) Controller that in this case allows you to save the state of your javascript application via a hashbang url No more Javascript Spaghetti: code is organized and broken down into semantically meaningful .js files which are later combined using JAMMIT No more jQuery.data(bla, bla): no need to store data in DOM, store data in models instead event binding just works extremely useful underscore utility library backbone.js code is well documented and a great read. opened my eyes to a number of JS code techniques."
_____ arguments are better than positional arguments,keyword
MTBIAMSH,Mean Time Between Idea and Making Stuff Happen
KPO,Knowledge process outsourcing
Happy path,"a default scenario featuring no exceptional or error conditions the sequence of activities executed if everything goes as expected aka, happy day scenario and golden path"
Amdahl's law,"Speedup is often limited by single component that is immutable used to find the maximum expected improvement to an overall system when only part of the system is improved used in parallel computing to predict the theoretical maximum speedup using multiple processors. The speedup of a program using multiple processors in parallel computing is limited by the time needed for the sequential fraction of the program. For example, if a program needs 20 hours using a single processor core, and a particular portion of the program which takes one hour to execute cannot be parallelized, while the remaining 19 hours (95%) of execution time can be parallelized, then regardless of how many processors are devoted to a parallelized execution of this program, the minimum execution time cannot be less than that critical one hour. Hence the speedup is limited to at most 20×."
"In general, greedy search is used when you are trying to find a solution that ________________________.",consists of components http://nbviewer.ipython.org/url/norvig.com/ipython/xkcd1313-part2.ipynb?create=1
set covering problem (SCP),
docker io,"the Linux container engine Package an application and its dependencies in a virtual container that can run on any Linux server. This helps enable flexibility and portability on where the application can run, whether on premise [sic], public cloud, private cloud, bare metal, etc."
Quantaum Computing,currently best for Discrete Combination Optimization problems using adiabatic quantaum computing quantaum tunneling (instead stimulated annealing) gate model will be way in the furture
closures,a function to a function together with a referencing environment A closure allows a function to access those non-local variables even when invoked outside its immediate lexical scope.
lambda,function without a name
Metcalfe's law,The value of a telecommunications network is proportional to the square of the number of connected users of the system.
higher order function,a function that returns a function or a function that takes a function as an argument
HATEOAS,An extremely complete and easy API a machine can discover all services Hypermedia as the Engine of Application State a client interacts with a network application entirely through hypermedia provided dynamically by application servers. a constraint of the REST application architecture that distinguishes it from most other network application architectures
OAuth,an open standard for authorization
"OAuth uses _______ instead of sending the full credentials (specifically, passwords) with each request.","digital signatures Similar to the way people sign documents to indicate their agreement with a specific text, digital signatures allow the recipient to verify that the content of the request hasn’t changed in transit. To do that, the sender uses a mathematical algorithm to calculate the signature of the request and includes it with the request."
Breadcrumb,a navigation aid used in user interfaces. allows users to keep track of their locations within programs or documents.
PhantomJS,"test never actually displayed but rendered web pages helps TDD in terminal can help use webscrap ""a headless WebKit scriptable with a JavaScript API."""
fist to five,"holding up a closed fist or the number of fingers that corresponds to the level of support. If a team member holds up fewer than three fingers, she is given the opportunity to state her objections and the team may respond. The facilitator continues the fist to five process until the team achieves consensus (everyone holds up three or more fingers) or agrees to move on to the next issue. Closed fist - No. A closed fist is a way to block consensus. 1 finger - I have major concerns. 2 fingers - I would like to discuss some minor issues. 3 fingers - I’m not in total agreement but I feel comfortable enough to let this proposal pass without further discussion. 4 fingers - I think it’s a good idea and will work for it. 5 fingers - It’s a great idea and would like to take the lead when we implement it. aka, fist of five"
0-click,completely automated
What is principle of least astonishment?,do what is expected in a program or on a webstie
What is a gossip protocol?,"a style of computer-to-computer communication protocol inspired by the form of gossip seen in social networks. extremely simple locally, powerful and robust globally aka, epidemic protocol LI for more information"
erasure code,"a forward error correction (FEC) code for the binary erasure channel, which transforms a message of k symbols into a longer message (code word) with n symbols such that the original message can be recovered from a subset of the n symbols. Optimal erasure codes have the property that any k out of the n code word symbols are sufficient to recover the original message (i.e., they have optimal reception efficiency). Optimal erasure codes are maximum distance separable codes (MDS codes)."
Vector Clocks,"an algorithm for generating a partial ordering of events in a distributed system and detecting causality violations. - Initially all clocks are zero. - Each time a process experiences an internal event, it increments its own logical clock in the vector by one. - Each time a process prepares to send a message, it increments its own logical clock in the vector by one and then sends its entire vector along with the message being sent. - Each time a process receives a message, it increments its own logical clock in the vector by one and updates each element in its vector by taking the maximum of the value in its own vector clock and the value in the vector in the received message (for every element)."
Lamport timestamps,"a simple algorithm used to determine the order of events in a distributed computer system. provide a partial ordering of events with minimal overhead, and conceptually provide a starting point for the more advanced vector clock method."
Federation,split into DB based on function
"When you have time bottleneck, _______",cache (aka hash) common queries.
# FIXME:,Mark potential problematic code that requires special attention and/or review
# NOTE:,Document inner workings of code and indicate potential pitfalls.
# XXX:,Warn other programmers of problematic or misguiding code.
PoP,"point of presence an artificial demarcation point or interface point between communicating entities. A web point of presence is an account, page, channel, board or other location (slideshare) where an individual, persona, brand or corporate identity is represented and interacts with other members of that service or the public in general."
bootstrap,things to do on startup
Surrogate Key,a unique identifier for either an entity in the modeled world or an object in the database. The surrogate key is not derived from application data. eg: Social Secruity number or Student ID
Fagan inspection,"A structured process of trying to find defects in development documents such as programming code, specifications, designs and others during various phases of the software development process."
What's the difference between “testing” and “quality assurance”?,"testing is subset of quality assurance Your goal of testing is to ensure the functional requirements and metrics are met. Quality-Assurance is a broader-reaching goal that simply asks ""Is the customer going to be happy with this?"""
Cargo cult programming,a style of computer programming characterized by the ritual inclusion of code or program structures that serve no real purpose.
a death march,"A project where the members feel it is destined to fail, or requires a stretch of unsustainable overwork."
IRB,Issues Benifets Risks for Customers Empaize for them BEFORE solution
wall time,"seconds on the clock not cpu time not perfect, random cpu processes can effect it"
How to make loops faster,extract loop invariants
what is faster than function calls,in line code
Thrift service,"define data types and service interfaces in a simple definition file. Taking that file as input, the compiler generates code to be used to easily build RPC clients and servers that communicate seamlessly across programming languages. Instead of writing a load of boilerplate code to serialize and transport your objects and invoke remote methods, you can get right down to business. from Apache"
DTD,Document Type Definition a set of markup declarations that define a document type for markup language defines the legal building blocks of an XML document
5 S's,1. Sort 2. Straighten 3. Shine 4. Standardize 5. Sustain 6. Safety 7. Sercuity
honeypot,recursive linked websited that trap webcrawler robots
Object Relational Mapper (ORM),translate SQL (tables) into OOP (objects) eg: SQLAlchemy in python
Task queue,"Tasks can execute asynchronously (in the background) or synchronously (wait until ready). aka, job queue eg: python RQ"
Instead of describing tasks ...,document current state and ideal state 1. Describing task is procedural 2. State is declaractive
n of m security,"example of key distribution share N secrets among M people so that any M < N of them (M of N) can regenerate the original information, but no smaller group up to M − 1 can do so. related to Shamir's Secret Sharing eg: 1 of 5 is low security 3 of 5 is meduim security 5 of 5 is hightest security"
secondary indexes,"a way to efficiently access records in a database (the primary) by means of some piece of information other than the usual (primary) key improve the speed of many read queries at the slight cost of: - increased storage space - decreased write performance. As an example of how secondary indexes might be used, consider a database containing a list of students at a college, each of whom has a unique student ID number. A typical database would use the student ID number as the key; however, one might also reasonably want to be able to look up students by last name. To do this, one would construct a secondary index in which the secondary key was this last name."
CRM,Customer Resource Management eg: Salesforce
What are 2 advantages of statically type languages?,1. Speed (The complier knows how to use them better) 2. Safety (The types are what you expect)
Oculus,a 3d vitrual realaty google system
salt,random data that is used as an additional input to a one-way function that hashes a password or passphrase. defend against dictionary attacks
Procedural programming,"specifying the steps the program must take to reach the desired state aka, imperative programming"
What is a heap?,A specialized tree-based data structure that satisfies the heap property: If A is a parent node of B then the key of node A is ordered with respect to the key of node B with the same ordering applying across the heap. Either the keys of parent nodes are always greater than or equal to those of the children and the highest key is in the root node (this kind of heap is called max heap)
What is a priority queue?,Sorts items by a given priority and always returns the item with the highest priority on each pop operation.
Finding a needle in a stack of needles,Everything on a computer is just 1s and 0s.
Knapsack problem,"Given a set of items, each with a mass and a value, determine the number of each item to include in a collection so that the total weight is less than or equal to a given limit and the total value is as large as possible."
BSP model,"Bulk synchronous parallel Many data analysis techniques such as machine learning and graph algorithms require iterative computations, this is where Bulk Synchronous Parallel model can be more effective than ""plain"" MapReduce. think parrallel graph processing & machine learning Giraph & Pregel"
WSGI,Web Server Gateway Interface simple and universal interface between web servers and web applications or frameworks for the Python programming language.
SDLC,Systems development life cycle
type safety,"the extent to which a programming language discourages or prevents type errors. A type error is erroneous or undesirable program behaviour caused by a discrepancy between differing data types for the program's constants, variables, and methods (functions), e.g., treating an integer (int) as a floating-point number (float)"
Optimizely,run A/B tests on websites very easity MVT testing on your web properties
binary search,1. Order array 2. Go to midpoint 3. Check if value is > or < or == 4. Repeat 2-3 recursively
Doubly Linked List,A collection of nodes that point to previous and next node Speeds up insertion and deletion (relative to Arrays)
What is the difference between post and put?,"PUT puts a file or resource at a specific URI, and exactly at that URI. If there's already a file or resource at that URI, PUT replaces that file or resource. If there is no file or resource there, PUT creates one. POST sends data to a specific URI and expects the resource at that URI to handle the request. The web server at this point can determine what to do with the data in the context of the specified resource."
Lasagna code,"type of program structure characterized by several well-defined and separable layers, where each layer of code accesses services in the layers below through well-defined interfaces."
HiPPO,Highest Paid Person’s Opinion
conversion rate,the percentage of visits to the website that include a purchase.
Behavior-Based Search,"If a user searched for a string that was common, and there was a strong signal that people who searched for that string bought one of several items, these items would surface at the top of the search results. Note that this algorithm has no semantic understanding of the searched phrase, which was its strength and weakness."
XOR gate,"""one or the other but not both"". a digital logic gate that implements an exclusive a true output (1/HIGH) results if one, and only one, of the inputs to the gate is true. If both inputs are false (0/LOW) or both are true, a false output results. Truth Table"
Parity bit,A bit added to the end of a string of binary code that indicates whether the number of bits in the string with the value one is even or odd. The simplest form of error detecting code.
Multiplexers,"a device that selects one of several analog or digital input signals and forwards the selected input into a single line. used to increase the amount of data that can be sent over the network within a certain amount of time and bandwidth. aka, a data selector"
Ajax,"a group of interrelated Web development techniques used on the client-side to create asynchronous Web applications. Elements of Ajax - HTML and CSS can be used in combination to mark up and style information. - The DOM is accessed with JavaScript to dynamically display - and allow the user to interact with - the information presented. - - JavaScript and the XMLHttpRequest object provide a method for exchanging data asynchronously between browser and server to avoid full page reloads. Drawbacks Ajax requests did not automatically register themselves with the browser's history engine, so clicking the browser's ""back"" button may not have returned the browser to an earlier state of the Ajax-enabled page,"
CRUD,Create Read Update Delete
deque,"pronounced ""deck"" double ended queue like a stack and queue at the same time"
Associate Arrays,synonym for hash or dictionary
hash,"map data of arbitrary size to data of fixed size, (with slight differences in input data producing very big differences in output data) one-way, determinist if two objects are the same, return same hash"
hash collision,different objects give same hash value
personalized page rank,page rank based on bookmarks
Hairball graph,visualizing lots of graph data
Why are sets look-ups constant?,"The value is put through a hash function. If there is a value at that memory location, then set membership check is complete."
What is a node without any childern?,"2, 5, 11, and 4 are leaf nodes"
Array,access any element by its index number. provide the handy [ ] syntax
Trie,"an ordered tree data structure that is used to store a dynamic set or associative array where the keys are usually strings. All the descendants of a node have a common prefix of the string associated with that node, and the root is associated with the empty string. also called digital tree and sometimes radix tree or prefix tree"
Bit Manipulation,"low level - a fast, primitive action directly supported by the processor used to manipulate values for comparisons and calculations. On simple low-cost processors, typically, bitwise operations are substantially faster than division, several times faster than multiplication, and sometimes significantly faster than addition. examples: AND, OR, XOR, NOT, and bit shifts"
Singleton Design Pattern,restricts the instantiation of a class to one object. exactly one object is needed to coordinate actions across the system.
Borg pattern,class Borg: __shared_state = {} def __init__(self): self.__dict__ = self.__shared_state # A pythonic way of handling Singleton pattern
Factory Pattern,Design pattern to create objects Create concrete implementations all with a common interface Should be used where an application (client) depends on an interface (product) to perform a task and there could be multiple concrete implementations of that interface.
SOAP,"Simple Object Access Protocol a standards-based Web services access protocol exclusively on XML built-in error handling. If there’s a problem with your request, the response contains error information that you can use to fix the problem been around for a while and enjoys all of the benefits of long-term use"
Why is SOAP better than REST?,"- Language, platform, and transport independent (REST requires use of HTTP) - Works well in distributed enterprise environments (REST assumes direct point-to-point communication) - Standardized - Provides significant pre-build extensibility in the form of the WS* standards - Built-in error handling - Automation when used with certain language products"
Why is REST better than SOAP?,"- No expensive tools require to interact with the Web service - Smaller learning curve - Efficient (SOAP uses XML for all messages, REST can use smaller message formats) - Fast (no extensive processing required) - Closer to other Web technologies in design philosophy"
What are the ways to secure an API?,- Basic Authentication - Oauth1.0a - Oauth2 - Custom
RESTful web services should use _______ authentication.,"session based either by establishing a session token via a POST, or using an API key as a POST body argument or as a cookie."
"Usernames and passwords, session tokens and API keys should not appear in the URL, because _______________.",can be captured in web server logs and makes them intrinsically valuable
OAuth,"allows access tokens to be issued to third-party clients by an authorization server, with the approval of the resource owner, or end-user. shared offline secret between orgs"
Two-step verification,"a process involving two subsequent but dependent stages to check the identity of an entity trying to access services in a computer or in a network with just one factor or secret, whilst there is no proof obtained that the bearer of the unit is identical to the owner of the unit."
Multi-factor authentication,"the presentation of two or more of the three independent authentication factors: a knowledge factor (""something only the user knows"") Password, pin a possession factor (""something only the user has"") mobile phone code, code token an inherence factor (""something only the user is"") Biometrics"
O(1),Algorithm exhibits constant-time changes with the size of the dataset
O(n),"Algorithm exhibits linear performance eg: when the data size doubles, time doubles"
O(log n),"Algorithm exhibits logarithmic performance When the data set doubles, peformance increases by a fixed amount"
Parse a string argument with {}{{}}{} = valid }{{}} = invalid,"Create a stack LIFO (Last-In-First-Out ) push { pop } def check_curlies(s): stack = [] for l in s: if l == ""{"": stack.append(""{"") elif l == ""}"": try: stack.pop() except IndexError: return False if len(stack) % 2 == 0: return True else: return False"
Semaphore,"a variable (or abstract data type) that is used for controlling access to a common resource in a parallel programming or a multi user environment. particularly in operating systems a record of how many units of a particular resource are available, coupled with operations to safely (i.e., without race conditions) adjust that record as units are required or become free, and, if necessary, wait until a unit of the resource becomes available."
Tree Data Structure,node and links
Binary Tree,no more than 2 childern nodes
Binary Search Tree (BST),A data structure that stays sorted (or order) left child LESS than parent right child More than parent
Left child of a binary tree is always ____________.,less than parent
Right child of binary tree is always _____,greater than root.
One advantage of binary search tree is _________.,stays sorted
Red-Black Tree is a _____________.,self balancing binary tree
Heap is usually implemented as a ________,binary tree.
Min heap ________,any child must be less than parent.
Heap add always ____ and ____.,top-to-bottom left-to-right.
"When you add a smaller value as a child to parent to a Min Heap, what happens?",The child and parent swap places. Then checks the new child parent relationship.
Min heaps always bubble up ________.,smallest value
Are heaps sorted?,No. Binary search trees do.
What is the best data structure for priorty queue?,A heap. The largests/smallest value is the root node.
What are the strengths of Arrays?,1. Direct indexing 2. Easy to create and use
What are the weaknesses of Arrays?,"1. Sorting 2. Searching 3. Inserting and deleting, esp if not at start or end"
What are the strengths of Linked Lists?,1. Inserting and deleting elements 2. Iterating through the collection
What are the weaknesses of Linked Lists?,1. Direct Acess 2. Searching 3. Sorting
What is the difference betweeen Stacks and Queues?,Stack = LIFO Queue = FIFO
What are the weaknesses of Stacks and Queues?,1. Direct Access 2. Searching 3. Sorting
What are advantages of Hash Tables?,1. Speed of insertion and deletion 2. Speed of access (with key)
What are the weakness of Hash Tables?,1. Some overhead 2. Retrieving in a sorted order 3. Searching for a specific value
What are the strengths of Sets?,1. Checking if an object is in a collection 2. Avoiding duplicates
What are the weakness of Sets?,Everything else
What are the strengths of Binary Searh Trees?,1. Speed of insertion and deletion 2. Speed of access 3. Maintaining sorted order
What are the weakness of Binary Search Trees?,Some overhead
Immutable data structures are ____ and ___ compared to mutable data structures.,faster smaller
DSL are _____,"- High level - Little - Bespoke eg: SQ, VBA, HTML, LaTex"
Genetic algorithms,"An initial population is created consisting of randomly generated rules. Each rule can be represented by a string of bits. A new population is formed to consist of the fittest rules in the current population, as well as offspring of these rules. Typically, the fitness of a rule is assessed by its classification accuracy on a set of training samples."
What is the order for estimating performance time?,- constant-time: O(1) - logarithmic: O(log n) - linear: O(n) - polynomial: O(n^m) - exponential: O(c^n) - factorial: O(n!)
What are the steps for a coding challenge?,Ask Assert Plan Code Test Refactor
premature optimization,"""Programmers waste enormous amounts of time thinking about, or worrying about, the speed of noncritical parts of their programs, and these attempts at efficiency actually have a strong negative impact when debugging and maintenance are considered. We should forget about small efficiencies, say about 97% of the time: premature optimization is the root of all evil. Yet we should not pass up our opportunities in that critical 3%."""
ball tree,"a space partitioning data structure for organizing points in a multi-dimensional space The ball tree gets its name from the fact that it partitions data points into a nested set of hyperspheres known as ""balls"". The resulting data structure has characteristics that make it useful for a number of applications, most notably nearest neighbor search."
Dynamic programming,a method for solving complex problems by breaking them down into simpler subproblems applicable to problems exhibiting the properties of overlapping subproblems and optimal substructure eg: - Dijkstra's algorithm for the shortest path problem - Fibonacci sequence
Distributed hash table,"a decentralized distributed system that provides a lookup service similar to a hash table; (key, value) pairs are stored in a DHT Trick is make nodes a ring"
Database triple,subject | relation | object
Memcached,a general-purpose distributed memory caching system It is often used to speed up dynamic database-driven websites by caching data and objects in RAM to reduce the number of times an external data source (such as a database or API) must be read.
Code as data,the code itself is a data structure (for example a list) that then can be manipulated common in Clojure
R-tree,"tree data structures used for spatial access methods i.e., for indexing multi-dimensional information eg: geographical coordinates, rectangles or polygons. group nearby objects and represent them with their minimum bounding rectangle in the next higher level of the tree the ""R"" in R-tree is for rectangle."
Specification by example (SBE),"Use realistic examples (instead of abstract statements) to define requirements and business-oriented functional tests for software products Use ""Examples as a single source of truth"""
Double-precision floating-point format,a computer number format that occupies 8 bytes (64 bits) in computer memory and represents a wide dynamic range of values by using floating point. high precision with high cost
strongly typed,restrictive about how types can be intermingled warning - no established meaning
Weakly Typed,allows many operations without regard for whether they are defined for the types of the operands in question. don't check / stop at runtime
Clojure,"a lisp that runs on the JVM dynamic programming language that targets the Java Virtual Machine (and the CLR, and JavaScript) it compiles directly to JVM bytecode, yet remains completely dynamic."
RSA,"first practicable public-key cryptosystems based on prime number factorization A user of RSA creates and then publishes a public key based on the two large prime numbers, along with an auxiliary value. The prime numbers must be kept secret."
Alice and Bob,archetypal characters in fields such as cryptography and physics.[1]
Monad,"a functional programming term represents computations defined as sequences of steps ""programmable semicolons"""
probabilistic programming,define probability models and then “solve” these models automatically. andom events as primitives and their runtime environment handles inference.
SPOF,"A single point of failure a part of a system that, if it fails, will stop the entire system from working"
DNS,a hierarchical distributed naming system for computers serves as the phone book for the Internet by translating human-friendly computer hostnames into computer-friendly IP addresses.
Forward-confirmed reverse DNS,has both forward (name-to-address) and reverse (address-to-name) Domain Name System (DNS) entries that match each other.
Binary search algorithm,"assume an array sorted by key value. finds the position of a specified input value start a middle position if search key < value, create a sub-array to the left of the element worst caste O(log n) - because of the spliting aka, half-interval search"
TCP/IP,"provides end-to-end connectivity specifying how data should be formatted, addressed, transmitted, routed and received at the destination."
What are the 4 abstraction layers of TCP/IP?,link layer containing communication technologies for a single network segment (link) internet layer connecting hosts across independent networks transport layer handling host-to-host communication the application layer provides process-to-process application data exchange.
"Given a sorted array of integers, how can we find a pair of integers that sum to K? e.g. array = 0,1,3,5,6, K = 7, the answer is 1 and 6.","Start a at the beginning of the array and b at the end of the array, and then do If a+b = K, then return (a,b). If a+b < K, then move a to the right one position. If a+b > K, then move b to the left one position."
LTV,Life Time value a prediction of the net profit attributed to the entire future relationship with a customer.
MRR,monthly recurring revenue
ARR,annual recurring revunue
right-associative,the operations are grouped from the right eg: x**3 or x = 3
POSIX,"""Portable Operating System Interface"" maintaining compatibility between operating systems An API, along with command line shells and utility interfaces, for software compatibility with variants of Unix and other operating systems."
Big O stands for _______,order of complexity.
Hyper log log performs _______ over the data and produces ________.,a single pass a relative accurate count of relative accuracy
Insertion sort,"Plain English: Select an arbitrary element from the unsorted set, and put it in the proper position in the sorted set. Steps: - iterates, consuming one input element each repetition, - growing a sorted output list. - Each iteration, insertion sort removes one element from the input data, finds the location it belongs within the sorted list, and inserts it there. -It repeats until no input elements remain. Worst case performance: О(n2)"
bubblesort,
merge sort,"a divide and conquer algorithm 1. Divide the unsorted list into n sublists, each containing 1 element (a list of 1 element is considered sorted). 2. Repeatedly merge sublists to produce new sorted sublists until there is only 1 sublist remaining. This will be the sorted list."
PRD,"Product requirements document defines a product they are making, or the requirements for one or more new features for an existing product. A PRD is often created after a marketing requirements document (MRD) has been written and been given approval by management, and is usually written before (or at least concurrently with) a technical requirements document."
Fighter brand,"a lower priced offering launched by a company to take on, and ideally take out, specific competitors that are attempting to under-price them."
Deep Web,not indexed by standard search engines possible orders of magnitude bigger than standard web eg: dynamically generated sites Unlinked content:
Dagwood sandwich problem,"Function arguments become increasing spread apart arrange( summarise( group_by( filter( flights, !is.na(dep_delay) ), year, month, day ), delay = mean(dep_delay) ), desc(delay) )"
Faceted search,"accessing information organized according to a faceted classification system, allowing users to explore a collection of information by applying multiple filters. classifies each information element along multiple explicit dimensions, called facets, enabling the classifications to be accessed and ordered in multiple ways rather than in a single, pre-determined, taxonomic order."
AMD,asynchronous module definition JavaScript API for defining modules such that the module and its dependencies can be asynchronously loaded
Count–min sketch,"a probabilistic sub-linear space streaming algorithm which can be used to summarize a data stream in many different ways. represent multisets and frequency tables. like Bloom Filters, which deal only sets http://en.wikipedia.org/wiki/Count–min_sketch"
AA testing vs AB testings,"no new feastures, testing the harness"
online prediction,allows for ad matching
bikeshedding,Parkinson’s law of triviality C. Northcote Parkinson’s argued in 1957 that organizations give disproportionate weight to trivial issues
SKUs,stock-keeping units
List 5 sorting algorithms in order of quality,1. quick sort 2. selection sort 3. merge sort 4. insertion sort 5. bubble sort
What does selection sort do?,"search list for smallest item, if not in 1st positions switch locations with that item then search list for 2nd smallest item, if not in proper location switch locations with that item repeat until last item"
What is the worst case perfromance of selection sort?,Θ(n^2)
What is bubble sort?,"Compare each pair items, if the 2nd item is larger then swap place. Repeat until no pairs are swapped."
What is the worst case performance of bubble sort?,О(n^2)
k-d tree,a space-partitioning data structure for organizing points in a k-dimensional space. a binary tree in which every node is a k-dimensional point.
White nodes,never visited by the query
Grey nodes,"visited by the query, unclear if they lead to output"
Black nodes,visited by the query
kd trees,a space-partitioning data structure for organizing points in a k-dimensional space Split the point set alternatingly by x-coordinate and by y-coordinate .... a special case of binary space partitioning trees
inverted index,"an index data structure storing a mapping from content, such as words or numbers, to its locations in a database file, or in a document or a set of documents allow fast full text searches, at a cost of increased processing when a document is added to the database."
What are the 2 main variants of inverted indexes?,1. A record level: contains a list of references to documents for each word. 2. A word level: additionally contains the positions of each word within a document.
persona,"a social role or a character played by an actor has a beliefs, needs, and goals bridge the gap between ideal and reality"
Rabin fingerprint,an example of a common rolling hash a method for implementing fingerprints using polynomials over a finite field.
When is Rabin-Karp algorithm used?,String matching
rolling hash,a hash function where the input is hashed in a window that moves through the input.
Kryder's law,the price of storage drops faster than moore's law
90 - 9 - 1 for user generated content,90% users read content only 9% contribute occasionally 1% contribute frequently
UTA,user acceptance testing determine if the requirements of a specification or contract are met.
Protocol Buffers,a method of serializing structured data - emphasized simplicity and performance. - track changes to the tructure via pull request
Blue-Green Deployments,blue: current live architure green: new arthciture switch to green keep blue idle
log (new style),a history to recreate state tee to non production system
Revenue Management,selling the right product to the right customer at the right time for the right price and with the right pack.
induction,moving from specific instances to general principles
Vickrey auction,a type of sealed-bid auction Bidders submit written bids without knowing the bid of the other people in the auction. The highest bidder wins but the price paid is the second-highest bid.
Generalized second-price auction,"Each bidder places a bid. The highest bidder gets the first slot, the second-highest, the second slot and so on, but the highest bidder pays the price bid by the second-highest bidder Each bidder pays the bid of the next highest bidder"
Page Placement,"determines where to show ads above (a.k.a., “North” of) the organic results in a separate column to the right (“East”) below them (“South”)"
SERP,search engine result page
conversions,purchases
0-1 knapsack problem,restricts the number xi of copies of each kind of item to zero or one.
symmetric Nash equilibrium,all players choose the same strategy in equilibrium
orders of approximation,formal or informal terms for how precise an approximation is
Zeroth-order approximation,the term scientists use for a first educated guess at an answer.
First-order approximation,"the term scientists use for a further educated guess at an answer. Some simplifying assumptions are made, and when a number is needed, an answer with only one significant figure is often given"
Second-order approximation,"the term scientists use for a decent-quality answer Few simplifying assumptions are made when a number is needed, an answer with two or more significant figures"
"Muri, Mura, Muda","Load, Flow, Waste describe the need to plan work correctly (load), to create a regular pace in the team (flow) and to avoid delivering products that have no customer value (waste)."
UGC,User-generated content
Resource Description Framework (RDF),a general-purpose language for representing information in the Web subject – predicate – object e.g. car – hascolour – red
Keyphrase Extraction Algorithm (KEA),- keyword indexing using a Controlled Vocabulary - uses training data (based on keyword coverage) Steps: 1) candidate term identification identifies phrases (n-grams) 3) filtering uses a learned model (from our training data) to identify the most significant keywords based on “features”
Faceted Search,"From the user perspective, faceted search breaks up search results into multiple categories, typically showing counts for each, and allows the user to ""drill down"" or further restrict their search results based on those facets."
memorization,"the program mantains a table of valuse for each argument used with the function before it calculates a value, it checks with the table if it the value is not in the table, it calculates and adds the value"
parity,the quality of sameness or equivalence refers to a technique of checking whether data has been lost or written over when it's moved from one place in storage to another or when transmitted between computers. usually refers to an error-checking procedure in which the number of 1's must always be the same—either even or odd—for each group of bits transmitted without error.
Konami Code,"a cheat code that appears in many Konami video games aka, Contra code"
race condition,"an undesirable situation that occurs when a device or system attempts to perform two or more operations at the same time, but because of the nature of the device or system, the operations must be done in the proper sequence in order to be done correctly."
Quantization,General: the process of mapping a large set of input values to a (countable) smaller set Specific: the procedure of constraining something from a continuous set of values (such as the real numbers) to a relatively small discrete set (such as the integers). eg: Rounding
Markov random field,"An undirected, possible cyclic graphical model is a set of random variables having a Markov property described by an undirected graph. A similar to a Bayesian network (always directed and acyclic)"
Liquid,"template language created by Shopify. It is the backbone of Shopify themes used to load dynamic content on storefronts. Open-source, Ruby-based <ul id=""products""> {% for product in products %} <li> <h2>{{ product.name }}</h2> Only {{ product.price | price }} {{ product.description | prettyprint | paragraph }} </li> {% endfor %} </ul>"
hash table,"a data structure that quickly maps a symbol (i.e., string) to a value"
What is a good heurstic for hast table size?,A large prime number so you can modulus it and be unique
A trick to reduce even hash look-ups,"hash again, aka create hash fingerprints"
shingling,"summarize each document in a short sketch (e.g., histogram of word distributions) estimate similarity based on sketches, aka computed metadata"
ERP,"Enterprise resource planning ingretated approach to accounting, HR, supply chain management, project management"
Watson Developer Cloud,"an artificially intelligent computer system capable of answering questions posed in natural language 200 million pages of structured and unstructured content consuming four terabytes of disk storage Watson Discovery Advisor focus on research and development projects in pharmaceutical industry, publishing and biotechnology Watson Analytics focus on Big Data visualization and insights on the basis of natural language questions posed by business users Watson Explorer focus on helping enterprise users uncover and share data-driven insights more easily"
Teradata,fully scalable relational database management system produced executing complex queries quickly
Resource Acquisition Is Initialization (RAII),"holding a resource is tied to object lifetime: resource allocation (acquisition) is done during object creation (specifically initialization), by the constructor, while resource deallocation (release) is done during object destruction, by the destructor. If objects are destructed properly, resource leaks do not occur. most prominently C++"
faceted classification,"a set of mutually exclusive and jointly exhaustive categories each made by isolating 1 perspective on the items (a facet) that combine to completely describe all objects in the collection which users can use, searching and browsing, to find what they need"
