notes,cards
"Chapter 1: Understanding Shells and Job Control
Introduction:
In this chapter, we will explore the fundamental concepts of shells and job control programs in the context of operating systems. We will understand how shells enable programmers to manage sets of programs and control their execution.

1.1 Shells:
- Definition: A shell is a command-line interpreter and job control program provided by an operating system.
- Command Execution: Shells provide a user interface to execute commands and manage system resources efficiently.
- Scripting Capabilities: Shells allow programmers to create scripts, automate repetitive tasks, and combine multiple commands to perform complex operations.

1.2 Job Control:
- Definition: Job control refers to the ability to manage and control the execution of multiple programs or jobs simultaneously.
- Foreground and Background Processes: Shells provide mechanisms to run programs in the foreground or background, allowing users to interact with multiple programs simultaneously.
- Process Group and Session Management: Shells maintain process groups and sessions to organize related processes and facilitate their control.

Chapter 2: Time Units in Computing
Introduction:
This chapter focuses on various time units used in computing systems. We will explore the differences between microseconds, nanoseconds, and picoseconds and understand their significance in measuring time.

2.1 Microseconds (μs):
- Definition: A microsecond is a unit of time equal to one millionth of a second.
- Precision: Microseconds are commonly used to measure short durations, such as the response time of computer systems.

2.2 Nanoseconds (ns):
- Definition: A nanosecond is a unit of time equal to one billionth of a second.
- Significance: Nanoseconds are widely utilized in high-speed communication systems, especially in measuring signal propagation and processing times.

Chapter 3: Input/Output Operations and Kernel Handling
Introduction:
This chapter explores the fundamental concepts of input/output (I/O) operations and the role of the kernel in handling reads and writes. We will delve into different I/O calls and understand the buffering mechanisms employed by the kernel.

3.1 Kernel Buffering:
- Buffering Reads: The kernel buffers read operations, allowing them to be handled as a continuous stream within a program.
- Writing and Kernel Buffering: Write operations are buffered by the kernel, and the actual writes to the underlying device occur when the kernel flushes the buffer.

3.2 High-level vs. Low-level I/O:
- I/O Calls: In I/O operations, high-level I/O calls with the 'f' prefix, such as fread() and fwrite(), are streamed and buffered by the kernel, providing a more convenient interface.
- Low-level I/O Calls: Low-level I/O calls like read() and write() interact directly with the device, bypassing kernel stream buffering","[Front: What is a shell? Back: A job control program. It allows a programmer to create and manage a set of programs to do some task.],
[Front: What is a microsecond? Also known as μs Back: 1 millionth of a second.],
[Front: What is a nanosecond? Back: 1 billionth of a second. ns]"
":
Chapter 1: Process Termination and Wait()
Introduction: 
In this chapter, we will explore the process termination mechanism in operating systems and understand how the wait() function plays a crucial role in handling terminated child processes. Additionally, we will examine the return values of the wait() system call and its implications.

1.1 Process Termination:
- Definition: Process termination refers to the act of ending a process's execution.
- Understanding Child Processes: When a process creates another process using the fork() system call, it becomes the parent process, and the created process is known as the child process.
- Cleaning Up Terminated Child Processes: The wait() system call allows a parent process to collect information about terminated child processes and clean up system resources associated with them.

1.2 The wait() System Call:
- Definition: wait() is a system call that allows a parent process to suspend its execution until one of its child processes terminates.
- Return Value: On success, the wait() system call returns the process ID of the terminated child process. On error, it returns -1.
- Error Handling: It is essential to handle the return value of wait() properly to handle any potential errors during process termination.

1.3 Fork() and Exec():
- Understanding fork(): The fork() system call creates a new process by duplicating the current process entirely.
- Executing New Processes: After forking, the newly created child process can replace its address space with a new program using the exec() family of functions.
- Creating a Completely New Process: By combining fork() and exec(), it is possible to create a completely new process and terminate the original one.

Chapter 2: Signals and Interprocess Communication
Introduction:
This chapter delves into interprocess communication through signals in an operating system. We will explore the concept of signals, their purpose in process communication, and how they are sent and received.

2.1 Understanding Signals:
- Definition: A signal is a system call designed to send a notification from one process to another.
- Purpose: Signals serve various purposes, including process termination, error handling, and process synchronization.

2.2 Sending and Receiving Signals:
- Sending a Signal: A process can send a signal to another process using the kill() system call.
- Receiving a Signal: A process can handle signals by registering signal handlers, which are functions executed when a specific signal is received.
- Default Signal Handlers: Each signal has a default action defined by the operating system, which can be overridden by a user-defined signal handler.

Set 2:
Chapter 1: Understanding Shells and Job Control
Introduction:
In this chapter, we will explore the fundamental concepts of shells and job control programs in the context of operating systems. We will understand how shells enable programmers to manage sets of programs and control their execution.

1.1 Shells:
- Definition: A shell is a command-line interpreter and job control program provided by an operating system.
- Command Execution: Shells provide a user interface to execute commands and manage system resources efficiently.
- Scripting Capabilities: Shells allow programmers to create scripts, automate repetitive tasks, and combine multiple commands to perform complex operations.

1.2 Job Control:
- Definition: Job control refers to the ability to manage and control the execution of multiple programs or jobs simultaneously.
- Foreground and Background Processes: Shells provide mechanisms to run programs in the foreground or background, allowing users to interact with multiple programs simultaneously.
- Process Group and Session Management: Shells maintain process groups and sessions to organize related processes and facilitate their control.

Chapter 2: Time Units in Computing
Introduction:
This chapter focuses on various time units used in computing systems. We will explore the differences between microseconds, nanoseconds, and picoseconds and understand their significance in measuring time.

2.1 Microseconds (μs):
- Definition: A microsecond is a unit of time equal to one millionth of a second.
- Precision: Microseconds are commonly used to measure short durations, such as the response time of computer systems.

2.2 Nanoseconds (ns):
- Definition: A nanosecond is a unit of time equal to one billionth of a second.
- Significance: Nanoseconds are widely utilized in high-speed communication systems, especially in measuring signal propagation and processing times.

Chapter 3: Input/Output Operations and Kernel Handling
Introduction:
This chapter explores the fundamental concepts of input/output (I/O) operations and the role of the kernel in handling reads and writes. We will delve into different I/O calls and understand the buffering mechanisms employed by the kernel.

3.1 Kernel Buffering:
- Buffering Reads: The kernel buffers read operations, allowing them to be handled as a continuous stream within a program.
- Writing and Kernel Buffering: Write operations are buffered by the kernel, and the actual writes to the underlying device occur when the kernel flushes the buffer.

3.2 High-level vs. Low-level I/O:
- I/O Calls: In I/O operations, high-level I/O calls with the 'f' prefix, such as fread() and fwrite(), are streamed and buffered by the kernel, providing a more convenient interface.
- Low-level I/O Calls: Low-level I/O calls like read() and write() interact directly with the device, bypassing kernel stream buffering","[Front: What is a picosecond? Back: A trillionth of a second.],
[Front: How does the kernel handle reads and writes? Back: It buffers reads so they can be handled as a stream in your program. Writes are buffered and are not written until the kernel flushes the buffer.],
[Front: What's the difference between the fread, read, fwrite, write I/O calls? Back: The ones with f are high-level I/O and streamed and buffered by the kernel. The non-f are low-level I/O.]"
"Chapter 1: System Calls and Parameter Passing

1.1 Introduction to System Calls
In this chapter, we will explore the concept of system calls and how they are used to interact with the underlying operating system. We will discuss the purpose of system calls and their importance in executing tasks that require privileged instructions.

1.2 Parameter Passing in System Calls
When a system call is made, it is essential to pass the necessary parameters for the operation to be performed correctly. In this section, we will delve into the process of parameter passing and examine where these parameters are stored. Specifically, we will learn that in most cases, the parameters are stored in registers, which enables efficient access and manipulation of the data needed for the system call.

1.3 Register Allocation and Reliability
The allocation of registers for parameter storage is a critical aspect of efficient system call execution. We will discuss the process of register allocation and how it impacts the reliability and performance of system calls. Additionally, we will explore any potential limitations and considerations that need to be taken into account when dealing with register allocation.","[Front: When a system call is made, where are parameters stored? Back: In registers.]"
"Chapter 2: Network I/O and Sockets

2.1 Introduction to Network I/O
Network I/O is crucial for communication between computers in a networked environment. In this chapter, we will provide an overview of network I/O and its significance in modern computing. We will discuss the various methods and protocols used for network communication and examine their strengths and weaknesses.

2.2 Understanding Sockets
Sockets serve as an abstraction of network I/O queues, facilitating communication between producers and consumers. In this section, we will explore the concept of a socket and its role in establishing a reliable and efficient communication channel. We will examine how sockets differ from file-based I/O and emphasize their benefits in network programming.

2.3 Types of Sockets in Modern Use
This section will focus on the different types of sockets currently employed in modern computing. We will discuss local sockets, also known as Unix sockets, which assist in communication within a local machine. Additionally, we will explore the widely used TCP/IP and UDP/IP sockets, their characteristics, and where they are commonly applied.

2.4 The Global Interpreter Lock (GIL)
The Global Interpreter Lock is a critical aspect of the CPython interpreter. This section will delve into the purpose and functionality of the GIL, which ensures that only one thread runs in the interpreter at a time. We will examine how the GIL simplifies certain low-level details and its implications for Python multithreading.

2.5 GIL Release during I/O Operations
During I/O operations and when threads use sleep, the GIL is temporarily released to allow other threads to execute. In this section, we will explore the circumstances under which the GIL is released and the implications for concurrent Python programs. We will highlight the importance of I/O operations and their role in optimizing thread execution.

2.6 Understanding ""Ticks"" in CPython
The concept of ""ticks"" in CPython plays a crucial role in thread checking and the management of the GIL. This section will explain what ""ticks"" represent in the context of CPython, their relationship to machine instructions, and their impact on thread contention for the GIL. We will examine changes that occurred in version 3.4 regarding thread checking.","[Front: What is a socket? Back: It's an abstraction of a network I/O queue.  It's a method of communication where a producer writes to one side, and a consumer reads from the other side. It's similar to writing and reading a file, but no file is involved.],
[Front: What sockets are in modern use? Back: Local sockets to local machine, called UNIX sockets, and TCP/IP and UDP/IP.],
[Front: What is the GIL? Back: It's the Global Interpreter Lock. It's is a part of CPython. It ensures only one thread runs in the interpreter at once. Having the GIL simplifies many low-level details (memory management, callouts to C extensions, etc.)],
[Front: When is the GIL released? Back: During I/O (disk IO, network IO, output to display) including when a thread uses sleep.],
[Front: What is a ""tick"" in CPython? Back: Approximately 1 machine instruction.]"
"Chapter 3: Memory Management and Thread Synchronization in CPython

3.1 Introduction to Memory Management
Memory management is a fundamental aspect of programming languages, ensuring efficient allocation and deallocation of resources. In this chapter, we will explore memory management principles, focusing on CPython. We will discuss the implications of memory allocation and what happens when the heap becomes too large.

3.2 Locks in CPython
Locks play a vital role in concurrent programming, allowing for synchronization between threads. In this section, we will explore locks in CPython and their specific characteristics. We will distinguish between locks and mutex locks, providing a clear understanding of their usage and how they enable thread coordination.

3.3 Heap Management and Page Faults
The heap in CPython is responsible for managing dynamic memory allocation. This section will delve into the potential challenges arising from a large heap, leading to page faults. We will discuss what happens when the heap exceeds available memory and how the kernel handles memory allocation. Understanding these concepts is crucial for efficient memory management in Python.

3.4 Summary of Thread Coordination in CPython
In this final section, we will summarize the key concepts discussed in this chapter regarding thread coordination in CPython. We will emphasize the importance of memory management and thread synchronization and provide insights into best practices for achieving efficient and reliable multithreaded programs in a CPython environment.

Note: Each set of flashcards has been transformed into a corresponding textbook chapter with appropriate titles and subheadings. The contents of each chapter are presented in a logical order, providing a comprehensive understanding of the concepts outlined in the flashcards","[Front: What happens every 100 ""ticks"" in the CPython interpreter? Back: A thread check occurs during which the thread releases the GIL then attempts to reacquire it. Other Python threads will contend for the the GIL. This is no longer the case in 3.4.],
[Front: What is a lock in CPython? Back: It's a binary semaphore. It's not a mutex lock.],
[Front: What happens when the heap gets too large? Back: It does a page fault, and the kernel will allocate more memory.]"
"Chapter Title: Memory Management in Operating Systems

Introduction:
In this chapter, we will explore the topic of memory management in operating systems. Specifically, we will focus on what happens when the heap and stack meet in memory and the resulting consequences. This knowledge is essential for understanding how operating systems allocate and manage memory resources efficiently.

1. The Heap and Stack Intersection:
Front: What happens when the heap and stack meet in memory?
Back: A guard page is hit, and the process is killed.

In this section, we will delve into what occurs when both the heap and stack reach a point of intersection in memory. More specifically, we will discuss the concept of a guard page and how it acts as a protective mechanism to prevent one from overwriting the other.

2. Memory Management Techniques:
Front: (Additional flashcards related to memory management)

In this part, we will explore various memory management techniques employed by operating systems. These techniques may include segmentation, paging, or demand paging, each with its own advantages and disadvantages. By comprehending these strategies, we can gain insights into how operating systems allocate and manage memory effectively.

...
(Set 2 and Set 3 are not included in this response to adhere to the limit of one textbook chapter",[Front: What happens when the heap and stack meet in memory? Back: A guard page is hit and the process is killed.]
":
Chapter Title: Memory Management in Operating Systems

Introduction:
In this chapter, we will explore the topic of memory management in operating systems. Specifically, we will focus on what happens when the heap and stack meet in memory and the resulting consequences. This knowledge is essential for understanding how operating systems allocate and manage memory resources efficiently.

1. The Heap and Stack Intersection:
Front: What happens when the heap and stack meet in memory?
Back: A guard page is hit, and the process is killed.

In this section, we will delve into what occurs when both the heap and stack reach a point of intersection in memory. More specifically, we will discuss the concept of a guard page and how it acts as a protective mechanism to prevent one from overwriting the other.

2. Memory Management Techniques:
Front: (Additional flashcards related to memory management)

In this part, we will explore various memory management techniques employed by operating systems. These techniques may include segmentation, paging, or demand paging, each with its own advantages and disadvantages. By comprehending these strategies, we can gain insights into how operating systems allocate and manage memory effectively.

...
(Set 2 and Set 3 are not included in this response to adhere to the limit of one textbook chapter",[Front: Where is information about a process stored? Back: In a PCB (process control block).]
":
Chapter Title: Memory Management in Operating Systems

Introduction:
In this chapter, we will explore the topic of memory management in operating systems. Specifically, we will focus on what happens when the heap and stack meet in memory and the resulting consequences. This knowledge is essential for understanding how operating systems allocate and manage memory resources efficiently.

1. The Heap and Stack Intersection:
Front: What happens when the heap and stack meet in memory?
Back: A guard page is hit, and the process is killed.

In this section, we will delve into what occurs when both the heap and stack reach a point of intersection in memory. More specifically, we will discuss the concept of a guard page and how it acts as a protective mechanism to prevent one from overwriting the other.

2. Memory Management Techniques:
Front: (Additional flashcards related to memory management)

In this part, we will explore various memory management techniques employed by operating systems. These techniques may include segmentation, paging, or demand paging, each with its own advantages and disadvantages. By comprehending these strategies, we can gain insights into how operating systems allocate and manage memory effectively.

...
(Set 2 and Set 3 are not included in this response to adhere to the limit of one textbook chapter","[Front: Where is information about a thread stored? Back: In a TCB (thread control block).],
[Front: What do multiple threads in the same process share? Back: Heap, file descriptors, code, static data.],
[Front: What do threads in a process NOT share? Back: Registers and stack.],
[Front: What can happen with thread stacks if one goes into a deep recursion? Back: One thread's stack can grow into another thread's stack and write over it. A guard page can help to protect from that.],
[Front: What can cause a thread to give control back to the dispatcher? Back: Thread returns control voluntarily (yield, requesting I/O (which blocks), wait for signal from another thread) or gets preempted by an interrupt.],
[Front: How long does it take to do a process context switch? Back: 3-4 microseconds.],
[Front: How long does it take to perform a thread context switch? Back: 100ns],
[Front: How often do context switches happen? Back: Every 10-100 ms.],
[Front: Context switch time increases sharply with the size of what? (by 100x or more.) Back: The working set - the subset of memory used by the process in a time window. Cache etc.]"
"Chapter 1: System Calls and Kernel Mode
1.1 Introduction to System Calls
In this chapter, we will explore the concept of system calls and how they allow programs to interact with the operating system. We will focus on understanding what happens in a system call to get the OS to switch to kernel mode. This involves understanding the mechanism of a trap and its role in transitioning from user mode to kernel mode.

1.2 Traps and Kernel Mode
A trap is a software interrupt generated by a program to request a service from the kernel. We will discuss the different types of traps and their significance in the context of system calls. Additionally, we will examine the steps involved in transitioning to kernel mode and the privileges it provides.

1.3 User Mode vs. Kernel Mode
We will explore the distinction between user mode and kernel mode in this section. Understanding these two modes is crucial in comprehending the security and protection mechanisms provided by modern operating systems. We will also discuss the importance of running system calls in kernel mode to ensure the stability and security of the system.

1.4 Best Practices for Thread Management
Managing threads efficiently is vital for maximizing system performance. We will delve into the concept of running one thread per core and discuss the advantages and challenges it presents. This section will provide practical insights into thread management, enabling developers to design optimal multi-threaded applications.","[Front: What happens in a system call to get the OS to switch to kernel mode? Back: A trap.],
[Front: How many threads should you run per process? Back: One per core.]"
"Chapter 2: Concurrency and Parallelism
2.1 Introduction to Concurrency
In this chapter, we will explore the fundamental concepts of concurrency and parallelism. We will start by understanding how concurrency is accomplished through the technique of multiplexing CPU time. This involves allowing multiple tasks or processes to make progress through interleaved execution.

2.2 Parallelism vs. Concurrency
Parallelism and concurrency are often used interchangeably, but they have distinct meanings. This section aims to clarify the difference between the two. We will explore how concurrency allows multiple blocks of instructions to run independently, while parallelism involves instructions running simultaneously across multiple cores.

2.3 Oversubscription and Its Implications
Oversubscription occurs when more threads are spawned than the available cores can handle concurrently. We will examine the concept of oversubscription and its potential impact on system performance. This section will provide guidelines on avoiding oversubscription and achieving optimal resource utilization.

2.4 Understanding Race Conditions
Race conditions can lead to unexpected and non-deterministic behavior in concurrent programs. We will discuss what a race condition is and the factors that contribute to its occurrence. This section will explore strategies for detecting, preventing, and resolving race conditions, ensuring the correctness and reliability of concurrent programs.","[Front: How is concurrency accomplished? Back: By multiplexing CPU time.],
[Front: What's the difference between parallelism and concurrency? Back: Concurrency means running multiple blocks of instructions independently. Parallelism means running instructions at the same time, as on multiple cores at once.],
[Front: What is oversubscription? Back: Spawning more threads than available cores.],
[Front: What is a race condition? Back: When the outcome of a deterministic procedure becomes non-deterministic based on differences in subprocess timing.]"
"Chapter 3: Synchronization and Inter-process Communication
3.1 Introduction to Synchronization
Synchronization is a vital concept in concurrent programming, enabling multiple threads or processes to coordinate their activities. In this chapter, we will delve into the mechanisms used for synchronization, focusing primarily on mutexes and lock guards. We will explore how these constructs help exclusively use a resource without interference from other processes.

3.2 Mutexes in Python
Python provides several synchronization primitives for multi-threaded programming. We will specifically focus on the usage of mutexes using the threading module. This section will present examples and code snippets demonstrating how to acquire and release mutexes in Python, ensuring safe and controlled access to shared resources.

3.3 Futures and their Role
Futures play a crucial role in concurrent programming by allowing us to receive return values from functions running in child threads. This section will discuss the concept of futures, their purpose, and how they facilitate communication between parent and child threads, enabling effective utilization of resources.

3.4 Promises for Inter-process Communication
Promises are another form of communication mechanism used in concurrent programming. We will explore the concept of promises, focusing on how they enable passing parameters to a child thread's function at a later time. This section will provide insights into the advantages and considerations of using promises for inter-process communication.

Please note that these textbook chapters are generated based on the provided flashcards and may require further refinement and integration with other appropriate topics for a comprehensive textbook","[Front: What can you put in place to exclusively use a resource without another process interfering? Back: A mutex, or even better, a lock guard.],
[Front: How do you use a mutex in Python? Back: import threading  lock = threading.Lock()  [first process] global lock lock.release() ... [other process] global lock lock.acquire() // attempts to get access, waits if it can't],
[Front: What does a future do? Back: Allows us to receive a return value from a function in a child thread.],
[Front: What is a promise? Back: A promise to send a parameter to a child thread's function later.]"
"Chapter 1: Deadlock and Livelock
- Introduction to livelock and its occurrence when multiple processes are unable to make progress.
- Exploring the scenario of livelock happening during deadlock resolution or due to starvation.
- Understanding the impact on system performance and potential solutions to mitigate livelock situations.

Chapter 2: Process Termination and Parent Process
- Explanation of how a terminated process remains in the terminated state until the parent process performs a wait operation to obtain its exit code.
- Discussing the importance of proper handling of terminated processes by the parent process.
- Highlighting the role of process synchronization in the termination process.

Chapter 3: Process Forking in Python
- Introducing the concept of process forking in Python using the multiprocessing module.
- Overview of the multiprocessing module and its support for process Pool and Process classes.
- Understanding the benefits of creating a pool of worker processes or forking temporary subprocesses.

Chapter 4: Concurrent Execution with concurrent.futures
- Overview of the concurrent.futures module and its role in concurrent programming in Python.
- Explanation of Executor objects, Future objects, and the functionality provided by ThreadPoolExecutor and ProcessPoolExecutor classes.
- Understanding how concurrent.futures facilitates parallel execution of tasks.

Chapter 5: Interrupts and Interrupt Handlers
- Defining interrupts as hardware-invoked context switches.
- Exploring the purpose and characteristics of interrupt handlers.
- Step-by-step explanation of the interrupt handling process and its impact on the currently running process.

Chapter 6: Copy-on-Write and Process Forking
- In-depth exploration of the process forking mechanism, focusing on copy-on-write.
- Understanding the concept of page table pointers duplication and their read-only nature.
- Explanation of how copy-on-write optimizes memory usage and data copying in forked processes.","[Front: What is livelock? Back: It occurs when multiple processes are attempting to deal with the current state, but neither makes progress. This can happen when a system is attempting to resolve a deadlock situation but another or the same process continue to trigger it. Starvation is another example.],
[Front: How long does a terminated process stay in the terminated state? Back: Until the parent process does a wait to receive its exit code.],
[Front: In Python, what can you use to fork a process? Back: The multiprocessing module. It supports process Pool and Process for making a pool of worker processes or forking temporary subprocesses.],
[Front: What does the concurrent.futures module offer? Back: ThreadPoolExecutor ProcessPoolExecutor Executor objects Future objects],
[Front: What is an interrupt? Back: A hardware-invoked context switch. The interrupt handler always runs immediately.],
[Front: What happens during an interrupt? Back: The currently running process' state is saved. We switch to kernel mode, the interrupt handler runs, and once its complete, the system goes back to user mode and the process continues.],
[Front: What really happens when you fork a process? Back: A fork doesn't copy everything, it just duplicates the page table pointers, which are all set at read-only. Called copy-on-write. Once you write to memory, then it copies the state.]"
"Chapter 1: Multiprocessing and Parallel Execution
- Introduction to multiprocessing and its benefits in achieving parallel execution.
- Explanation of executing tasks simultaneously on multiple processor cores.
- Overview of how multiprocessing enhances program performance.

Chapter 2: Process Control Block (PCB)
- Detailed examination of the Process Control Block (PCB) and its significance in managing processes.
- Understanding the information contained within a PCB, including process status, register state, PID, user details, priority, execution time, and memory space.
- Highlighting the role of the PCB in managing context switching and process scheduling.","[Front: What is multiprocessing? Back: Parallel execution on multiple cores.],
[Front: What does a PCB contain? Back: Everything about a process: - status - register state (when not in ready state) - PID, User, Executable, Priority - Execution time - Memory space, translation]"
"Chapter 1: Interrupt Handlers and their Characteristics
- Discussing the unique attributes of interrupt handlers, including their ability to disable interrupts and run to completion.
- Examining the importance of interrupt handlers in maintaining system stability and responsiveness.

Chapter 2: Process States and Transitions
- Exploring the five states a process can be in: new, ready, running, waiting, and terminated.
- Understanding the role each state plays in the life cycle of a process.
- Explaining the transitions between different process states and the events triggering these transitions.

Chapter 3: Filter() and Map() Functions
- Differentiating between the filter() and map() functions in Python.
- Detailing the purpose and use cases of both functions.
- Providing examples to illustrate the distinction between a predicate function (used in filter()) and a value-returning function (used in map()).

Chapter 4: Synchronization and Atomic Operations
- Defining synchronization in the context of concurrent programming.
- Overview of atomic operations and their role in ensuring cooperation between threads.
- Discussing common synchronization techniques and their application in maintaining data integrity.

Chapter 5: Critical Section and Mutual Exclusion
- Introduction to the critical section concept.
- Explanation of the critical section as a block of code that requires locking before entry and unlocking upon exit.
- Understanding how critical sections create mutual exclusion to prevent data races and ensure correct execution.

Please note that the above chapters are hypothetical and based on the provided flashcards. The actual structure and content of the textbook chapters may vary based on the specific context and pedagogical considerations","[Front: What is special about an interrupt handler? Back: It disables interrupts and runs to completion.],
[Front: What are the five states a process can be in? Back: - new (when being created) - ready - running - waiting (for I/O or event coordination) - terminated (waits for parent process to receive its exit code)],
[Front: What is the difference between filter() and map()? Back: Filter uses a function that returns true or false (predicate). Map uses a function that returns a value.],
[Front: What is synchronization? Back: Using atomic operations to ensure cooperation between threads.],
[Front: What is a critical section? Back: A block of code that you lock before entering, then unlock when leaving. This creates a mutual exclusion on shared data.]"
"Chapter 1: Concurrency and Synchronization

1.1 Priority Inversion Problem
- Definition: The priority inversion problem occurs when a thread that is busy-waiting for a lock to be released ends up stealing CPU and getting a higher priority than the thread with the lock. Consequently, the waiting thread gets higher priority, preventing the thread holding the lock from completing and releasing it.

1.2 Busy-Waiting
- Definition: Busy-waiting refers to one or more threads using a significant amount of CPU by continuously checking a value or using test&set() operation to check and write a value while waiting for a lock to be released. This behavior results in CPU being stolen from the thread holding the lock.

1.3 Semaphores
- Definition: Semaphores, as defined by Dijkstra, are signaling solutions for handling concurrency data integrity problems in multi-threaded applications. A semaphore is a non-negative integer that supports two operations: P() (proberen, to test/probe) and V() (verhogen, to increment). P() is an atomic operation that waits for the semaphore to become greater than 0 and then decrements it by 1, while V() is an atomic operation that increments the semaphore by 1 and wakes up any threads waiting for P(). The initial value of the semaphore determines the number of threads allowed to run in the critical section concurrently.

1.4 Mutual Exclusion
- Definition: Mutual exclusion refers to the concept of allowing only one thread to access a critical section at a time. In the context of semaphores, a binary semaphore serves as a mutual exclusion mechanism.

1.5 Monitors
- Definition: A monitor is a programming construct that consists of a lock and zero or more condition variables for managing concurrent access to shared data. It ensures that only one thread can enter the monitor at a time and provides mechanisms for thread synchronization and communication.

1.6 Using Locks and Condition Variables
- Locks: Locks are primarily used for achieving mutual exclusion, allowing only one thread to access a critical section at a time.
- Condition Variables: Condition variables are used for managing scheduling constraints, allowing threads to wait for specific conditions to be met before proceeding within a critical section.","[Front: What is the priority inversion problem? Back: A thread that is busy-waiting for a lock to be released ends up stealing CPU and getting a higher priority than the thread with the lock. SO since the waiting thread gets higher priority, the thread holding the lock can't complete and release the lock.],
[Front: What is busy-waiting? Back: One or more threads is using a lot of CPU by continuously checking a value, or test&set() checking and writing a value in wiating for a lock to release, thus stealing CPU from the thread holding the lock.],
[Front: What is a semaphore? Back: A semaphore (defined by Dijkstra) is kind of signaling solution for handling concurrency data integrity problems that arise in multi-threaded applications. It has a non-negative integer that supports 2 operations: - P() [proberen, to test/probe] - atomic operation that waits for semaphore to become > 1, then decrements it by 1 (wait) - V() [verhogen, to increment] - an atomic operation that increments the semaphore by 1, waking up any P (signal)  The initial semaphore value will determine how many threads can run in the critical section at once.],
[Front: What's another name for a mutual exclusion? Back: Binary semaphore.],
[Front: What is a monitor? Back: A lock and zero or more condition variables for managing concurrent access to shared data.],
[Front: What should locks and condition variables each be used for? Back: locks - mutual exclusion condition variables - scheduling constraints],
[Front: What is a condition variable? Back: A queue of threads waiting for access to something in a critical section.]"
"Chapter 2: Scheduling and Context Switching

2.1 Condition Variables and Sleeping
- Special Feature of Condition Variables: Condition variables allow sleeping inside a critical section by atomically releasing the lock when the thread goes to sleep. This feature helps in avoiding unnecessary resource consumption by threads that are waiting for a certain condition.

2.2 Methods on Condition Variables
- Wait(&lock): A method that causes the calling thread to wait until another thread signals or broadcasts on the associated condition variable.
- Signal(): A method that signals the next waiting thread, allowing it to proceed.
- Broadcast(): A method that signals all waiting threads, allowing them to proceed.

2.3 Scheduling in Modern Processors
- Mesa-Scheduling: Most modern processors utilize Mesa-scheduling, which aims to achieve minimal response time, maximize throughput, and provide fairness among processes.

2.4 Scheduler Objectives
- Response Time: The scheduler attempts to minimize the time taken for a process to start executing in response to an event.
- Throughput: The scheduler aims to maximize the number of processes completed per unit of time.
- Fairness: The scheduler strives to allocate resources fairly among competing processes.

2.5 Context Switching
- Drawback of Context Switching: Context switching involves the process of saving the state of a thread and restoring the state of another thread. However, it can lead to CPU cache misses when a thread returns from switching and finds that the CPU cache does not contain the values it had before, resulting in performance degradation.

2.6 Convoy Effect
- Definition: The convoy effect occurs when short processes get stuck behind long processes in a First-In-First-Out (FIFO) style ready queue. This effect can lead to inefficiencies in utilizing CPU resources.

2.7 Round Robin Scheduling Scheme
- Definition: The round-robin scheduling scheme assigns each process a time quantum (q milliseconds) to run. Typically, the time quantum ranges from 10 to 100 milliseconds, and it can be adjusted. Each process runs for the assigned time slice (or until completion if close to done) and then goes back on the ready queue.","[Front: What is a special feature of condition variables? Back: It allows sleeping inside a critical section by atomically releasing lock at the time we sleep.],
[Front: What are the 3 methods on a condition variable? Back: wait(&lock) signal() - signals the next waiting member broadcast() - signals all waiting members],
[Front: What type of scheduling do most modern processors use? Back: Mesa-scheduling.],
[Front: What are some things the scheduler tries to accomplish? Back: - minimize response time - maximize throughput - fairness],
[Front: What is a drawback of context switching? Back: CPU cache misses as thread comes back from switching and finds the CPU cache doesn't have the values it had before.],
[Front: What's the convoy effect? Back: Short processes get stuck behind long processes in a FIFO style ready queue.],
[Front: What is the round robin scheduling scheme? Back: Each process gets a time quantum q milliseconds to run. 10-100ms, the q is tunable. Each process runs for that time slice (or until completion if close to done) and then goes back on the ready queue.]"
"Chapter 3: Advantages and Disadvantages of Scheduling Schemes

3.1 Pros of Round Robin Scheduling Scheme
- Improved for Short Jobs: The round-robin scheduling scheme is better suited for short jobs (i.e., jobs that fit within the time quantum) as it provides fair time allocation to each process.

Note: The chapter content has been structured based on the provided flashcards. The actual order and organization of textbook chapters may vary depending on the overall structure and content of the textbook",[Front: What are pros of the round-robin scheduling scheme? Back: - better for short jobs (they fit in the time slice) - fair]
